id_paiement,id_commande,type_carte,num_carte
1,5,visa,4017957487172946
2,6,visa,4041375440120
3,8,americanexpress,374288865051220
4,10,mastercard,5048375710359877
5,14,mastercard,5286396505716759
6,17,americanexpress,374283691577860
7,22,visa,4039728257050
8,24,mastercard,5100172393017244
9,30,visa,4918330662197
10,36,mastercard,5160657478854955
11,37,visa,4041599053089
12,40,americanexpress,377555217074507
13,42,americanexpress,374283571747054
14,43,visa,4017955012588
15,44,visa,4017956931497
16,47,americanexpress,374288772528237
17,48,americanexpress,374283302930219
18,49,mastercard,5108756653482189
19,57,visa,4041376993580
20,58,visa,4041596115162
21,59,mastercard,5590784038507129
22,61,americanexpress,349294900750224
23,62,mastercard,5425467306369098
24,63,americanexpress,344433010751095
25,64,mastercard,5346215557449358
26,66,mastercard,5048374281921140
27,68,americanexpress,374622901872613
28,71,visa,4636156500031384
29,72,visa,4017958069551952
30,75,visa,4041593729339389
31,78,visa,4041593594120
32,80,visa,4187048921739
33,81,mastercard,5048373160583302
34,83,visa,4041594553755526
35,85,mastercard,5007665267347799
36,95,americanexpress,372301414112732
37,96,visa,4017951119877170
38,97,visa,4041594120287052
39,98,visa,4041598734748532
40,99,visa,4910376101674872
41,101,mastercard,5100179021197256
42,102,visa,4041595119337980
43,104,americanexpress,374288047581144
44,107,americanexpress,374288929000205
45,108,mastercard,5100171912458327
46,111,mastercard,5002357286034674
47,113,mastercard,5100131977791301
48,114,mastercard,5100173041741599
49,117,americanexpress,372301353876362
50,122,mastercard,5469301921782020
51,123,visa,4017953236171
52,124,mastercard,5007662103588793
53,125,americanexpress,372301278354750
54,127,americanexpress,374283680681517
55,128,mastercard,5156636645876816
56,129,visa,4506793486247142
57,133,americanexpress,374288276836698
58,137,visa,4689936681902107
59,141,mastercard,5048373193046699
60,148,visa,4041597587549807
61,151,visa,4017951377571
62,152,visa,4041599787967516
63,155,mastercard,5100178554113599
64,157,americanexpress,374622955080311
65,162,americanexpress,348825864746418
66,163,mastercard,5007661023254981
67,164,visa,4041378476972
68,166,americanexpress,376533295004325
69,167,americanexpress,374283176020147
70,168,americanexpress,372301832963088
71,169,visa,4041596711680025
72,170,americanexpress,374288608109749
73,171,americanexpress,374288952880572
74,174,mastercard,5010120901187552
75,175,mastercard,5203015144316694
76,176,visa,4901224668716226
77,177,mastercard,5108752327877441
78,178,visa,4041379050883
79,179,visa,4017953691045
80,182,mastercard,5007660983610422
81,185,visa,4041592863088471
82,187,mastercard,5574663171108129
83,192,visa,4055435563747
84,193,americanexpress,341651532172200
85,196,visa,4041597049827007
86,198,mastercard,5100131437125181
87,200,visa,4742019582769
88,213,mastercard,5100175771082169
89,214,mastercard,5497936543814648
90,215,americanexpress,374622046215413
91,216,mastercard,5213592063015505
92,220,visa,4017954153629036
93,222,americanexpress,374288182783893
94,224,mastercard,5010125974386585
95,232,americanexpress,337941446587130
96,235,visa,4017957219926
97,239,visa,4901629512141
98,240,visa,4244163253727
99,242,americanexpress,349338480987316
100,243,americanexpress,374283415924349
101,250,visa,4041591774740220
102,251,americanexpress,374283113956718
103,255,visa,4041372720781448
104,257,mastercard,5100132911009669
105,258,mastercard,5520321796685907
106,259,mastercard,5100143082514627
107,262,americanexpress,374622518664452
108,264,visa,4041598324701263
109,265,mastercard,5597967518708175
110,267,mastercard,5100174101131002
111,277,americanexpress,372301198135461
112,279,americanexpress,374283971334362
113,282,americanexpress,372301046816601
114,286,americanexpress,337941632172911
115,287,mastercard,5154969002926177
116,290,visa,4041370008567
117,291,americanexpress,337941003638953
118,295,visa,4041370441362
119,296,visa,4021239086062982
120,297,americanexpress,344711750466440
121,298,mastercard,5100174575401626
122,300,visa,4041596125435
123,302,mastercard,5108753846623092
124,304,visa,4041376936326138
125,305,americanexpress,374288254625485
126,308,mastercard,5007662370784455
127,309,mastercard,5108755706541827
128,311,americanexpress,374288946236964
129,319,visa,4041597168400
130,321,mastercard,5100148044203904
131,323,americanexpress,371805644659560
132,327,visa,4835929588139603
133,332,americanexpress,374288279672025
134,334,americanexpress,374622457686516
135,336,americanexpress,372301336771813
136,341,visa,4017957832246965
137,342,mastercard,5002353523447126
138,343,visa,4017951446971159
139,346,mastercard,5283464420654522
140,347,americanexpress,348896227396936
141,350,mastercard,5167467610897794
142,356,americanexpress,337941469763782
143,360,americanexpress,372301452918305
144,361,americanexpress,374622430069210
145,365,americanexpress,346672064902207
146,366,mastercard,5108756618336488
147,367,americanexpress,372595341834132
148,370,americanexpress,374622847400487
149,372,americanexpress,374283539675041
150,374,americanexpress,374622938824801
151,376,visa,4041598751337
152,390,americanexpress,374622702384883
153,394,visa,4041376526455
154,399,visa,4017959493859
155,400,visa,4139501373718
156,403,visa,4468224835312391
157,404,visa,4017952860837033
158,405,visa,4017950807263
159,406,mastercard,5048378116102651
160,409,mastercard,5048370723395711
161,413,americanexpress,374622204515323
162,415,mastercard,5453811536815740
163,416,mastercard,5154174839372618
164,418,visa,4041371368689
165,419,visa,4041592109333954
166,421,americanexpress,374288572919479
167,422,visa,4041596965570880
168,424,americanexpress,377618430237127
169,429,visa,4017950491969
170,430,visa,4041379916422
171,431,americanexpress,374283853949279
172,434,visa,4041375002119039
173,442,visa,4041378844435
174,443,mastercard,5346867591908243
175,444,visa,4430076276961192
176,445,visa,4636376248479
177,446,mastercard,5498307246085630
178,448,americanexpress,372301706298504
179,454,visa,4017952848083
180,456,mastercard,5100178210528461
181,458,americanexpress,374622522474005
182,459,mastercard,5438445698117080
183,460,visa,4041373463813307
184,463,mastercard,5352664031130608
185,464,mastercard,5569379129773271
186,465,mastercard,5007662467918727
187,469,mastercard,5100136093902344
188,473,americanexpress,337941688701258
189,475,mastercard,5593198659316735
190,480,visa,4041377833974947
191,481,americanexpress,374288522347375
192,483,americanexpress,374599946705729
193,484,americanexpress,372301047124658
194,487,americanexpress,372301284523802
195,490,visa,4041594623357
196,491,visa,4017950106963
197,493,mastercard,5010120597788531
198,496,mastercard,5007665533895761
199,501,mastercard,5100146899658149
200,502,mastercard,5271379895215282
201,504,americanexpress,372301287136800
202,506,mastercard,5100146877106061
203,507,americanexpress,374283874545338
204,512,visa,4017958831661
205,513,visa,4017956421796
206,514,mastercard,5108753355038674
207,516,americanexpress,337941417873311
208,517,mastercard,5048376536282830
209,520,americanexpress,372301773349149
210,521,mastercard,5143356268009100
211,523,visa,4017954180817877
212,524,mastercard,5048372834854859
213,528,mastercard,5245046914513194
214,532,visa,4041371806777668
215,536,americanexpress,342848450025951
216,537,americanexpress,374283480831916
217,539,visa,4041374565414
218,540,americanexpress,372301024116701
219,542,americanexpress,372301241680547
220,545,americanexpress,372606073826855
221,551,mastercard,5010126487746760
222,553,mastercard,5048372015876028
223,555,americanexpress,337941324888394
224,557,visa,4041597106855
225,558,visa,4017953074074736
226,566,mastercard,5002357543042593
227,567,americanexpress,374288528131112
228,572,americanexpress,337941306113217
229,574,americanexpress,372120224147807
230,578,visa,4403249242466454
231,580,americanexpress,337941175660389
232,581,mastercard,5100175953482989
233,585,visa,4041594753659
234,587,mastercard,5010129222388468
235,591,americanexpress,374283145341384
236,593,mastercard,5002350799716226
237,600,visa,4041376470290
238,601,visa,4041593493947946
239,608,americanexpress,348820410804977
240,611,americanexpress,344783387331792
